Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),System Time,Alert Type (Audio/Text),Action,Description,
3.19,0,0,,,,,,,+0.0,14:16:31,AUDIO,PLAY,BOOT,
3.19,0,0,,,,,,,+0.0,14:16:31,AUDIO,PLAY,BOOT,
3.38,0,0,,,,,,,+0.0,14:16:31,TEXT,SHOW,alertB/U BATT TEST NEE,
3.38,0,0,,,,,,,+0.0,14:16:31,TEXT,SHOW,alertMAINT LOG ITEM EX,
3.94,0,0,,,,,,,+0.0,14:16:31,TEXT,SHOW,alertROLL SERVO OFFLIN,
3.94,0,0,,,,,,,+0.0,14:16:31,TEXT,SHOW,alertPITCH SERVO OFFLI,
300.38,2,10,2021-05-21 14:21:27,+26.53617,-81.76318,18,0.1,181.6,+6.2,14:21:27,TEXT,SHOW,OIL PRES LOW,
300.38,2,10,2021-05-21 14:21:27,+26.53617,-81.76318,18,0.1,181.6,+6.2,14:21:27,AUDIO,PLAY,EMS_OIL_PRES,
300.38,2,10,2021-05-21 14:21:27,+26.53617,-81.76318,18,0.1,181.6,+6.2,14:21:27,TEXT,SHOW,BATT VOLTS LOW,
300.38,2,10,2021-05-21 14:21:27,+26.53617,-81.76318,18,0.1,181.6,+6.2,14:21:27,AUDIO,PLAY,EMS_VOLTAGE,
300.38,2,10,2021-05-21 14:21:27,+26.53617,-81.76318,18,0.1,181.6,+6.2,14:21:27,AUDIO,PLAY,EMS_OIL_PRES,
300.38,2,10,2021-05-21 14:21:27,+26.53617,-81.76318,18,0.1,181.6,+6.2,14:21:27,AUDIO,PLAY,EMS_VOLTAGE,
380.12,2,10,2021-05-21 14:22:47,+26.53616,-81.76318,25,0.0,181.6,+6.2,14:22:47,TEXT,SHOW,ACM FAULT,
380.12,2,10,2021-05-21 14:22:47,+26.53616,-81.76318,25,0.0,181.6,+6.2,14:22:47,AUDIO,PLAY,EMS_GENERAL,
380.12,2,10,2021-05-21 14:22:47,+26.53616,-81.76318,25,0.0,181.6,+6.2,14:22:47,AUDIO,PLAY,EMS_GENERAL,
381.25,2,10,2021-05-21 14:22:48,+26.53616,-81.76318,26,0.1,181.6,+6.2,14:22:48,TEXT,HIDE,ACM FAULT,
381.25,2,10,2021-05-21 14:22:48,+26.53616,-81.76318,26,0.1,181.6,+6.2,14:22:48,AUDIO,STOP,EMS_GENERAL,
383.44,2,10,2021-05-21 14:22:51,+26.53616,-81.76318,25,0.1,181.6,+6.2,14:22:50,TEXT,SHOW,ACM FAULT,
383.44,2,10,2021-05-21 14:22:51,+26.53616,-81.76318,25,0.1,181.6,+6.2,14:22:50,AUDIO,PLAY,EMS_GENERAL,
383.44,2,10,2021-05-21 14:22:51,+26.53616,-81.76318,25,0.1,181.6,+6.2,14:22:50,AUDIO,PLAY,EMS_GENERAL,
383.62,2,10,2021-05-21 14:22:51,+26.53616,-81.76318,25,0.2,181.6,+6.2,14:22:51,TEXT,HIDE,ACM FAULT,
383.62,2,10,2021-05-21 14:22:51,+26.53616,-81.76318,25,0.2,181.6,+6.2,14:22:51,AUDIO,STOP,EMS_GENERAL,
384.25,2,10,2021-05-21 14:22:51,+26.53616,-81.76318,25,0.2,181.6,+6.2,14:22:51,TEXT,SHOW,ACM FAULT,
384.25,2,10,2021-05-21 14:22:51,+26.53616,-81.76318,25,0.2,181.6,+6.2,14:22:51,AUDIO,PLAY,EMS_GENERAL,
384.25,2,10,2021-05-21 14:22:51,+26.53616,-81.76318,25,0.2,181.6,+6.2,14:22:51,AUDIO,PLAY,EMS_GENERAL,
384.88,2,10,2021-05-21 14:22:52,+26.53616,-81.76318,23,0.0,181.6,+6.2,14:22:52,TEXT,HIDE,ACM FAULT,
384.88,2,10,2021-05-21 14:22:52,+26.53616,-81.76318,23,0.0,181.6,+6.2,14:22:52,AUDIO,STOP,EMS_GENERAL,
433.69,2,10,2021-05-21 14:23:41,+26.53616,-81.76319,35,0.1,181.6,+6.2,14:23:41,TEXT,HIDE,ROLL SERVO OFFLINE,
433.69,2,10,2021-05-21 14:23:41,+26.53616,-81.76319,35,0.1,181.6,+6.2,14:23:41,TEXT,HIDE,PITCH SERVO OFFLINE,
465.56,2,10,2021-05-21 14:24:13,+26.53616,-81.76318,29,0.1,181.6,+6.2,14:24:12,TEXT,HIDE,OIL PRES LOW,
465.56,2,10,2021-05-21 14:24:13,+26.53616,-81.76318,29,0.1,181.6,+6.2,14:24:12,AUDIO,STOP,EMS_OIL_PRES,
543.75,2,10,2021-05-21 14:25:31,+26.53616,-81.76318,23,0.0,181.6,+6.2,14:25:31,TEXT,HIDE,BATT VOLTS LOW,
543.75,2,10,2021-05-21 14:25:31,+26.53616,-81.76318,23,0.0,181.6,+6.2,14:25:31,AUDIO,STOP,EMS_VOLTAGE,
547.75,2,10,2021-05-21 14:25:35,+26.53616,-81.76318,23,0.1,181.6,+6.2,14:25:35,TEXT,SHOW,BATT VOLTS LOW,
547.75,2,10,2021-05-21 14:25:35,+26.53616,-81.76318,23,0.1,181.6,+6.2,14:25:35,AUDIO,PLAY,EMS_VOLTAGE,
547.75,2,10,2021-05-21 14:25:35,+26.53616,-81.76318,23,0.1,181.6,+6.2,14:25:35,AUDIO,PLAY,EMS_VOLTAGE,
549.75,2,10,2021-05-21 14:25:37,+26.53616,-81.76318,28,0.0,181.6,+6.2,14:25:37,TEXT,HIDE,BATT VOLTS LOW,
549.75,2,10,2021-05-21 14:25:37,+26.53616,-81.76318,28,0.0,181.6,+6.2,14:25:37,AUDIO,STOP,EMS_VOLTAGE,
550.75,2,10,2021-05-21 14:25:38,+26.53616,-81.76318,29,0.1,181.6,+6.2,14:25:38,TEXT,SHOW,BATT VOLTS LOW,
550.75,2,10,2021-05-21 14:25:38,+26.53616,-81.76318,29,0.1,181.6,+6.2,14:25:38,AUDIO,PLAY,EMS_VOLTAGE,
550.75,2,10,2021-05-21 14:25:38,+26.53616,-81.76318,29,0.1,181.6,+6.2,14:25:38,AUDIO,PLAY,EMS_VOLTAGE,
